time,user_name,user_color,message
92,ninjakai03,#2E8B57,"NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM ."
93,annonyme__,#FF0000,"minibotGroove cerbyHype minibotGroove cerbyHype minibotGroove cerbyHype minibotGroove cerbyHype minibotGroove cerbyHype minibotGroove cerbyHype minibotGroove cerbyHype minibotGroove cerbyHype"
93,filipten10,#FF0000,"NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM"
93,ephemeral_defect_,#5F9EA0,"nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA nwero FingerPoint LIYA"
95,threegale_,#FF0000,"Dance same 5 intro songs"
95,magicpurple2,,"aragomDum aragomDum aragomDum aragomDum"
95,danii_5106,#FF69B4,"<3 <3 <3 <3"
96,blackberry792,#FF0B85,"NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM"
96,sam_xreaperx,,"neuroOnline"
96,speload,#FF0000,"Dance  same 5 intro songs"
96,izzabella33,#1E90FF,"DinoDance DinoDance DinoDance"
96,destroyedarkana,#FF0000,""
96,magicpurple2,,"aragomBald"
96,ninjakai03,#2E8B57,"NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM NOWAYING ani SOLO ANNY STREAM"
